Datum;Produkt;Nettomenge;Stueckpreis_brutto;Bruttoumsatz
2020-05-01;Alaunstein;5;8,99;44,949997
2020-05-02;Alaunstein;1;8,99;8,99
2020-05-03;Alaunstein;0;8,99;0,0
2020-05-04;Alaunstein;1;9,99;9,99
2020-05-05;Alaunstein;1;9,98;9,98
2020-05-06;Alaunstein;0;9,98;0,0
2020-05-07;Alaunstein;1;9,99;9,99
2020-05-08;Alaunstein;1;9,99;9,99
2020-05-09;Alaunstein;1;9,99;9,99
2020-05-10;Alaunstein;0;9,99;0,0
2020-05-11;Alaunstein;0;9,99;0,0
2020-05-12;Alaunstein;1;9,99;9,99
2020-05-13;Alaunstein;1;9,99;9,99
2020-05-14;Alaunstein;0;9,99;0,0
2020-05-15;Alaunstein;1;9,99;9,99
2020-05-16;Alaunstein;2;9,99;19,98
2020-05-17;Alaunstein;1;9,99;9,99
2020-05-18;Alaunstein;0;9,99;0,0
2020-05-19;Alaunstein;1;9,99;9,99
2020-05-20;Alaunstein;0;9,99;0,0
2020-05-21;Alaunstein;0;9,99;0,0
2020-05-22;Alaunstein;0;9,99;0,0
2020-05-23;Alaunstein;2;9,99;19,98
2020-05-24;Alaunstein;2;9,985;19,97
2020-05-25;Alaunstein;0;9,985;0,0
2020-05-26;Alaunstein;0;9,985;0,0
2020-05-27;Alaunstein;0;9,985;0,0
2020-05-28;Alaunstein;0;9,985;0,0
2020-05-29;Alaunstein;3;9,99;29,97
2020-05-30;Alaunstein;0;9,99;0,0
2020-05-31;Alaunstein;0;9,99;0,0
2020-06-01;Alaunstein;0;9,99;0,0
2020-06-02;Alaunstein;0;9,99;0,0
2020-06-03;Alaunstein;0;9,99;0,0
2020-06-04;Alaunstein;0;9,99;0,0
2020-06-05;Alaunstein;0;9,99;0,0
2020-06-06;Alaunstein;1;9,99;9,99
2020-06-07;Alaunstein;3;9,99;29,97
2020-06-08;Alaunstein;0;9,99;0,0
2020-06-09;Alaunstein;1;9,99;9,99
2020-06-10;Alaunstein;0;9,99;0,0
2020-06-11;Alaunstein;3;9,986667;29,96
2020-06-12;Alaunstein;0;9,986667;0,0
2020-06-13;Alaunstein;1;9,98;9,98
2020-06-14;Alaunstein;0;9,98;0,0
2020-06-15;Alaunstein;2;9,99;19,98
2020-06-16;Alaunstein;1;9,99;9,99
2020-06-17;Alaunstein;3;9,986667;29,96
2020-06-18;Alaunstein;1;9,98;9,98
2020-06-19;Alaunstein;1;9,99;9,99
2020-06-20;Alaunstein;0;9,99;0,0
2020-06-21;Alaunstein;1;9,99;9,99
2020-06-22;Alaunstein;1;9,99;9,99
2020-06-23;Alaunstein;0;9,99;0,0
2020-06-24;Alaunstein;0;9,99;0,0
2020-06-25;Alaunstein;1;9,99;9,99
2020-06-26;Alaunstein;2;9,985;19,97
2020-06-27;Alaunstein;2;9,985;19,97
2020-06-28;Alaunstein;1;9,99;9,99
