TimeSeriesId,Region,Product_Hierachy1,Product_Hierachy2,Product_Hierachy3,ABC_Classification,XYZ_Predictability,Price_Normalized,First_Goods_Issue_Date,Effective_Out_Date
1,C,72,10,18,B,Z,0.0333,11/29/2021,12/31/2030
2,M,72,23,41,A,X,0.0456,4/12/2021,12/31/2030
3,I,72,21,55,C,Z,0.065,7/17/2017,12/31/2030
4,M,73,56,94,B,Z,0.0045,11/29/2010,12/31/2030
5,S,73,58,149,C,Z,0.0032,6/10/2013,12/31/2030
6,C,72,20,39,C,Z,0.0632,12/19/2016,12/31/2030
7,N,82,41,256,B,X,0.0376,7/12/2021,12/31/2030
8,I,73,56,90,C,Z,0.0911,11/15/2021,12/31/2030
9,I,73,56,91,B,X,0.0446,2/22/2016,12/31/2030
10,S,72,85,648,A,Z,0.0307,11/9/2015,12/31/2030
11,U,82,90,172, ,N,0.1931,7/24/2017,12/31/2030
12,I,72,57,105,C,Z,0.0857,11/2/2020,12/31/2030
13,I,73,21,32,C,Z,0.0921,1/10/2022,12/31/2030
14,N,73,56,91,A,Z,0.1182,2/21/2022,12/31/2030
15,M,73,53,81,B,Z,0.2708,2/17/2020,12/31/2030
16,S,72,16,54,A,Z,0.0202,4/8/2013,12/31/2030
17,S,72,21,25,B,Z,0.0347,9/6/2021,12/31/2030
18,M,82,40,259,A,X,0.0478,12/6/2021,12/31/2030
19,I,73,57,109,A,Z,0.3737,3/30/2015,12/31/2030
20,S,82,41,256,B,Z,0.1099,8/3/2020,12/31/2030
21,N,72,85,326,C,Z,0.0045,7/1/2013,12/31/2030
22,N,72,57,105,C,Z,0.055,11/21/2016,12/31/2030
23,I,73,56,90,C,Z,0.0718,2/19/2018,12/31/2030
24,S,82,40,331,C,Z,0.03,5/5/2014,12/31/2030
25,N,72,90,132,B,X,0.0206,6/25/2018,12/31/2030
26,C,72,20,38,A,X,0.0588,3/14/2011,12/31/2030
27,N,72,85,648,B,Z,0.061,2/26/2018,12/31/2030
28,M,72,10,18,B,Z,0.0677,2/21/2022,12/31/2030
29,S,73,58,796,C,Z,0.0099,2/20/2017,12/31/2030
30,M,82,42,254,A,X,0.8151,6/28/2021,12/31/2030
31,N,82,41,256,A,X,0.1256,8/3/2020,12/31/2030
32,N,73,52,148,B,Z,0.0803,1/11/2021,12/31/2030
33,C,72,27,247,C,Z,0.0915,10/3/2016,12/31/2030
34,S,73,53,81,C,Z,0.0671,2/24/2014,12/31/2030
35,N,72,23,41,C,Z,0.0488,9/27/2021,12/31/2030
